0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:00:31 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:00:56 +0900] "GET /kyobo/member/login.jsp HTTP/1.1" 200 2398
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:02 +0900] "POST /kyobo/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:02 +0900] "GET /kyobo/main.jsp HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:07 +0900] "GET /kyobo/index.jsp HTTP/1.1" 200 15388
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:07 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:14 +0900] "GET /kyobo/notice%20board.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:14 +0900] "GET /kyobo/BoardServlet?command=board_list HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:16 +0900] "GET /kyobo/BoardServlet?command=board_write_form HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:21 +0900] "GET /kyobo/BoardServlet?command=board_list HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:26 +0900] "GET /kyobo/BoardServlet?command=board_view&num=10 HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:01:56 +0900] "GET /kyobo/BoardServlet?command=board_write_form HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:14:19 +0900] "GET /kyobo/BoardServlet?command=board_list HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:14:21 +0900] "GET /kyobo/BoardServlet?command=board_write_form HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:14:43 +0900] "POST /kyobo/BoardServlet HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:14:48 +0900] "GET /kyobo/BoardServlet?command=board_view&num=12 HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:15:29 +0900] "GET /kyobo/BoardServlet?command=board_check_pass_form&num=12 HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:15:40 +0900] "GET /kyobo/BoardServlet?command=board_check_pass&num=12&pass=1234 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [20/Jun/2025:13:17:10 +0900] "GET /kyobo/BoardServlet?command=board_delete&num=12 HTTP/1.1" 200 2087
